district_id,district_name,literacy_rate,population,coverage_percentage,fund_utilization,month,monthly_variance
D001,North Valley,58.5,75000,68.2,52.3,2024-01,12.5
D001,North Valley,58.5,75000,71.5,58.1,2024-02,8.3
D001,North Valley,58.5,75000,65.8,48.9,2024-03,22.7
D002,South Hills,72.3,45000,82.1,65.4,2024-01,9.2
D002,South Hills,72.3,45000,84.5,68.2,2024-02,7.1
D002,South Hills,72.3,45000,81.2,63.8,2024-03,11.4
D003,East Plains,62.1,62000,72.3,55.2,2024-01,14.8
D003,East Plains,62.1,62000,74.1,59.6,2024-02,10.2
D003,East Plains,62.1,62000,69.5,51.8,2024-03,18.9
D004,West Coast,78.5,38000,88.2,72.1,2024-01,6.5
D004,West Coast,78.5,38000,89.1,74.3,2024-02,5.8
D004,West Coast,78.5,38000,87.5,70.9,2024-03,7.2
D005,Central Valley,55.2,85000,64.5,45.2,2024-01,25.3
D005,Central Valley,55.2,85000,66.8,49.1,2024-02,19.7
D005,Central Valley,55.2,85000,62.1,42.8,2024-03,28.4
D006,Rural Highlands,51.8,52000,58.3,41.5,2024-01,32.1
D006,Rural Highlands,51.8,52000,61.2,45.8,2024-02,28.9
D006,Rural Highlands,51.8,52000,55.9,38.2,2024-03,35.6
D007,Urban Metro,85.2,125000,92.5,88.3,2024-01,4.2
D007,Urban Metro,85.2,125000,93.1,89.7,2024-02,3.8
D007,Urban Metro,85.2,125000,91.8,87.2,2024-03,4.5
D008,Border Region,48.3,68000,54.2,38.9,2024-01,42.8
D008,Border Region,48.3,68000,57.6,42.1,2024-02,38.5
D008,Border Region,48.3,68000,51.3,35.6,2024-03,45.2
D009,Coastal Plains,76.8,56000,83.7,71.5,2024-01,8.9
D009,Coastal Plains,76.8,56000,85.2,73.8,2024-02,7.4
D009,Coastal Plains,76.8,56000,82.1,69.2,2024-03,9.6
D010,Mountain District,53.9,49000,59.8,43.7,2024-01,31.5
D010,Mountain District,53.9,49000,62.4,47.2,2024-02,27.8
D010,Mountain District,53.9,49000,57.1,40.3,2024-03,34.2
